pl_name,tic_id,hostname,ra,dec,disc_year,pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,sy_dist
"Kepler-1597 b","TIC 158722002","Kepler-1597",288.1639687,42.4810124,2016,2.94654179000,1.06000000,1.20000000,6377.00,1.390000,1.250000,1221.05000000
"Kepler-687 b","TIC 121988890","Kepler-687",289.3154576,39.1532911,2016,20.50586978000,3.52000000,12.20000000,4841.00,0.730000,0.770000,633.66000000
"Kepler-1596 b","TIC 350813882","Kepler-1596",285.5575066,49.3300866,2016,66.37337900000,1.90000000,4.27000000,5706.00,0.920000,0.950000,2146.23000000
"Kepler-692 b","TIC 138728891","Kepler-692",294.7768068,40.1537027,2016,21.81293494000,3.11000000,9.85000000,5440.00,0.860000,0.900000,991.33600000
"Kepler-150 c","TIC 121598758","Kepler-150",288.2341025,40.5208970,2014,7.38199800000,3.69000000,13.20000000,5560.00,0.939000,0.956000,891.09200000
"Kepler-1494 b","TIC 123499226","Kepler-1494",282.6573891,43.1625334,2016,91.08048200000,3.07000000,9.64000000,5659.00,0.940000,0.960000,1285.48000000
"Kepler-1502 b","TIC 184298883","Kepler-1502",296.1079271,39.3199201,2016,41.70836290000,3.18000000,10.20000000,6666.00,1.720000,1.440000,1514.02000000
"Kepler-1490 b","TIC 271959909","Kepler-1490",295.6935734,42.6094543,2016,92.43629730000,3.04000000,9.48000000,5515.00,0.870000,0.900000,862.92000000
"Kepler-1491 b","TIC 270617233","Kepler-1491",293.6297645,45.7406293,2016,16.58617620000,1.51000000,2.89000000,5728.00,0.990000,1.000000,2065.59000000
"Kepler-171 b","TIC 239229224","Kepler-171",296.7719082,41.7555958,2014,4.16697200000,2.34000000,6.08000000,5642.00,0.839000,0.978000,863.85500000
"Kepler-1926 b","TIC 159649308","Kepler-1926",291.1987905,44.1662033,2021,42.87770081000,2.31495961,5.97000000,5256.00,0.832000,0.768000,667.40500000
"Kepler-1631 b","TIC 271159855","Kepler-1631",294.6325781,43.8076687,2016,4.09513932000,1.35000000,2.39000000,5679.00,0.950000,0.970000,1305.99000000
"KOI-1599.02","TIC 170647523","KOI-1599",298.3738383,40.6184483,2019,13.60880000000,1.90000000,9.00000000,5833.00,0.972000,1.020000,1131.64000000
