pl_name,tic_id,hostname,ra,dec,disc_year,pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,sy_dist
Kepler-1597 b,TIC 158722002,Kepler-1597,288.1639687,42.4810124,2016,2.94654179,1.06,1.2,6377.0,1.39,1.25,1221.05
Kepler-687 b,TIC 121988890,Kepler-687,289.3154576,39.1532911,2016,20.50586978,3.52,12.2,4841.0,0.73,0.77,633.66
Kepler-1596 b,TIC 350813882,Kepler-1596,285.5575066,49.3300866,2016,66.373379,1.9,4.27,5706.0,0.92,0.95,2146.23
Kepler-692 b,TIC 138728891,Kepler-692,294.7768068,40.1537027,2016,21.81293494,3.11,9.85,5440.0,0.86,0.9,991.336
Kepler-150 c,TIC 121598758,Kepler-150,288.2341025,40.520897,2014,7.381998,3.69,13.2,5560.0,0.939,0.956,891.092
Kepler-1494 b,TIC 123499226,Kepler-1494,282.6573891,43.1625334,2016,91.080482,3.07,9.64,5659.0,0.94,0.96,1285.48
Kepler-1502 b,TIC 184298883,Kepler-1502,296.1079271,39.3199201,2016,41.7083629,3.18,10.2,6666.0,1.72,1.44,1514.02
Kepler-1490 b,TIC 271959909,Kepler-1490,295.6935734,42.6094543,2016,92.4362973,3.04,9.48,5515.0,0.87,0.9,862.92
Kepler-1491 b,TIC 270617233,Kepler-1491,293.6297645,45.7406293,2016,16.5861762,1.51,2.89,5728.0,0.99,1.0,2065.59
Kepler-171 b,TIC 239229224,Kepler-171,296.7719082,41.7555958,2014,4.166972,2.34,6.08,5642.0,0.839,0.978,863.855
Kepler-1926 b,TIC 159649308,Kepler-1926,291.1987905,44.1662033,2021,42.87770081,2.31495961,5.97,5256.0,0.832,0.768,667.405
Kepler-1631 b,TIC 271159855,Kepler-1631,294.6325781,43.8076687,2016,4.09513932,1.35,2.39,5679.0,0.95,0.97,1305.99
KOI-1599.02,TIC 170647523,KOI-1599,298.3738383,40.6184483,2019,13.6088,1.9,9.0,5833.0,0.972,1.02,1131.64
Kepler-719 b,TIC 271767300,Kepler-719,295.5360628,43.8844116,2016,5.007317779,8.52,54.5,5777.0,0.98,0.99,2497.51
Kepler-734 b,TIC 272845785,Kepler-734,297.0456122,46.0273893,2016,6.104852856,3.56,12.4,5326.0,0.78,0.85,1157.21
Kepler-1408 b,TIC 123496782,Kepler-1408,282.6998783,45.4257884,2016,2.99793191,0.89,0.64,6170.0,1.35,1.21,535.048
Kepler-1427 b,TIC 271665352,Kepler-1427,295.3496546,45.1145372,2016,0.968972376,1.1,1.37,5793.0,1.01,1.01,1220.0
Kepler-1665 b,TIC 122442334,Kepler-1665,290.39624,41.0399229,2020,11.9548,2.83910787,8.44,5049.84,0.777785,0.842,335.515
Kepler-342 e,TIC 63293562,Kepler-342,292.6780488,46.7266813,2016,1.644224613,0.88,0.615,6366.0,1.34,1.26,781.611
Kepler-267 b,TIC 269357457,Kepler-267,299.8305655,47.1575741,2014,3.353728,1.98,37.9,4258.0,0.555,0.541571,264.993
Kepler-1738 b,TIC 272080244,Kepler-1738,296.1313474,47.4388098,2021,7.674630165,2.82472883,8.37,6063.0,1.001,1.079,1302.87
Kepler-746 b,TIC 122515955,Kepler-746,290.6822097,37.3551593,2016,3.48159251,1.11,1.41,5418.0,0.93,0.91,450.0
Kepler-760 b,TIC 158494681,Kepler-760,287.5931997,44.1794278,2016,8.70419416,3.06,9.59,5322.0,0.85,0.89,792.336
Kepler-272 c,TIC 268704766,Kepler-272,299.1275257,47.5938319,2014,6.057342,1.79,97.8,5297.0,0.929,0.91,889.608
Kepler-775 b,TIC 137211068,Kepler-775,291.4332781,41.7033162,2016,0.974868926,1.19,1.81,5468.0,0.84,0.92,398.676
Kepler-498 b,TIC 159384648,Kepler-498,290.3581592,44.5187225,2016,9.61375356,3.03,9.43,5744.0,0.96,0.98,938.844
Kepler-877 b,TIC 159175206,Kepler-877,289.8591023,46.5227429,2016,18.45847097,2.12,5.14,5261.0,0.81,0.85,602.176
Kepler-865 b,TIC 273499989,Kepler-865,297.7242257,43.5272796,2016,14.16399294,2.49,6.76,5570.0,0.92,0.93,586.137
Kepler-288 c,TIC 121785939,Kepler-288,288.9163997,39.5947523,2014,19.305772,2.85,8.5,5918.0,1.091,0.842,1194.15
