2026-07-23 10:47:25,469 | INFO | Notebook 02 Started
2026-07-23 10:54:41,661 | INFO | 0% (22/18810) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
2026-07-23 10:54:41,704 | ERROR | 158722002 : Cannot save file into a non-existent directory: 'D:\MachineLearning\data\raw\lightcurves'
2026-07-23 10:54:42,725 | INFO | 0% (41/18597) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
2026-07-23 10:54:42,755 | ERROR | 121988890 : Cannot save file into a non-existent directory: 'D:\MachineLearning\data\raw\lightcurves'
2026-07-23 10:54:43,817 | INFO | 0% (41/18597) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
2026-07-23 10:54:43,853 | ERROR | 350813882 : Cannot save file into a non-existent directory: 'D:\MachineLearning\data\raw\lightcurves'
2026-07-23 10:54:53,465 | INFO | 0% (41/18597) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
2026-07-23 10:54:53,495 | ERROR | 121598758 : Cannot save file into a non-existent directory: 'D:\MachineLearning\data\raw\lightcurves'
2026-07-23 10:54:54,690 | INFO | 0% (22/18810) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
2026-07-23 10:54:54,720 | ERROR | 123499226 : Cannot save file into a non-existent directory: 'D:\MachineLearning\data\raw\lightcurves'
2026-07-23 10:54:55,919 | INFO | 0% (23/18810) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
2026-07-23 10:54:55,957 | ERROR | 184298883 : Cannot save file into a non-existent directory: 'D:\MachineLearning\data\raw\lightcurves'
2026-07-23 10:54:57,149 | INFO | 0% (52/18462) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
2026-07-23 10:54:57,182 | ERROR | 271959909 : Cannot save file into a non-existent directory: 'D:\MachineLearning\data\raw\lightcurves'
2026-07-23 10:55:13,324 | INFO | 0% (22/18810) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
2026-07-23 10:55:13,351 | ERROR | 239229224 : Cannot save file into a non-existent directory: 'D:\MachineLearning\data\raw\lightcurves'
