tic_id,orbital_period_days,planet_radius_rearth,equilibrium_temperature_k,transit_depth_ppm,impact_parameter,semi_major_axis_au,atmosphere_class
158002130,9.697,0.185,629.982,678.626,0.0,0.096,Unknown
460396820,2.341,1.361,1037.275,9695.647,0.0,0.113,Unknown
152476657,3.611,1.025,1539.641,3908.939,0.174,0.069,Unknown
27318774,3.242,0.987,1379.66,8653.496,0.0,0.047,Unknown
262662119,4.532,0.988,1058.111,7395.052,0.0,0.085,Unknown
375654303,1.802,1.2,1841.931,4542.903,0.057,0.044,Unknown
288246496,4.305,0.788,1307.909,4792.722,0.371,0.055,Unknown
273373582,0.607,0.38,1445.097,5859.217,0.0,0.008,Unknown
272080244,13.282,2.005,631.945,42380.887,0.0,0.214,Unknown
100990000,9.601,0.167,674.33,235.762,0.394,0.217,Unknown
100990000,9.601,0.167,674.33,235.762,0.394,0.217,Unknown
122442334,0.702,0.337,1888.39,1976.758,0.334,0.013,Unknown
100990000,9.601,0.167,674.33,235.762,0.394,0.217,Unknown
138805992,10.323,1.153,416.5,13905.423,0.0,0.368,Unknown
137556197,3.45,0.424,466.681,6645.905,0.0,0.103,Unknown
137556197,3.45,0.424,466.681,6645.905,0.0,0.103,Unknown
137637249,1.017,0.808,996.822,11192.755,0.0,0.051,Unknown
137637249,1.017,0.808,996.822,11192.755,0.0,0.051,Unknown
138219758,1.478,0.683,2173.709,4468.648,0.0,0.018,Unknown
80224448,5.967,0.095,1050.71,92.195,0.0,0.077,Unknown
158729099,5.646,0.51,440.574,4885.834,0.401,0.224,Unknown
138219758,1.478,0.683,2173.709,4468.648,0.0,0.018,Unknown
138219758,1.478,0.683,2173.709,4468.648,0.0,0.018,Unknown
