feature,importance,rank,group,permutation_importance,permutation_std
transit_sde,0.19476446752421447,1,other,0.21111111111111117,0.06236095644623235
transit_transit_snr,0.10724520682393271,2,other,0.08055555555555559,0.0447041026095308
second_frequency,0.03901359200492087,3,frequency,0.041666666666666685,0.024056261216234418
power_concentration,0.03876497375861783,4,frequency,0.03611111111111113,0.026498311150470723
kurtosis,0.03137441919374727,5,statistical,0.027777777777777818,0.0795434503515353
third_frequency,0.03025929096639516,6,frequency,0.01944444444444445,0.026498311150470723
transit_duration,0.029417596424709477,7,other,0.01944444444444445,0.026498311150470723
harmonic_ratio,0.022677882089976842,8,frequency,0.016666666666666673,0.025458753860865786
dominant_period,0.021444539388715544,9,frequency,0.013888888888888895,0.024056261216234418
skewness,0.02136056440138624,10,statistical,0.013888888888888895,0.024056261216234418
largest_gap_days,0.019148700000334393,11,temporal,0.013888888888888895,0.024056261216234418
time_span_hours,0.01863906226502328,12,temporal,0.013888888888888895,0.024056261216234418
transit_period,0.018483367046417322,13,other,0.011111111111111117,0.022222222222222233
dominant_frequency,0.01825014459324171,14,frequency,0.011111111111111117,0.022222222222222233
rms,0.017394632002353857,15,statistical,0.011111111111111117,0.022222222222222233
median_cadence_days,0.017090962913793712,16,temporal,0.008333333333333337,0.019837301190396815
gap_fraction,0.016788246435436173,17,temporal,0.005555555555555558,0.016666666666666673
mean_flux,0.01644747658491602,18,statistical,0.0,0.0
transit_depth,0.016320261241165795,19,other,0.0,0.0
cadence_minutes,0.0161151459045326,20,temporal,0.0,0.0
std_cadence_days,0.01610790192370354,21,temporal,0.0,0.0
transit_epoch,0.01602590002933619,22,other,0.0,0.0
num_observations,0.01519353756167711,23,temporal,0.0,0.0
zero_crossings,0.014948052162977715,24,statistical,0.0,0.0
observation_duration_days,0.014888129925199022,25,temporal,0.0,0.0
flux_entropy,0.014393241376043036,26,statistical,0.0,0.0
dominant_power,0.013926172186331102,27,frequency,0.0,0.0
spectral_entropy,0.013571739246830444,28,frequency,0.0,0.0
max_spectral_power,0.012619119677506166,29,frequency,0.0,0.0
sampling_density,0.012502453904116558,30,temporal,0.0,0.0
third_power,0.012298045761854762,31,frequency,0.0,0.0
second_power,0.01192319119851691,32,frequency,0.0,0.0
mean_gap_days,0.011625153217951273,33,temporal,0.0,0.0
mean_cadence_days,0.011117308294108334,34,temporal,0.0,0.0
spectral_energy,0.010684393725306256,35,frequency,0.0,0.0
frequency_variance,0.0075249155648896456,36,frequency,0.0,0.0
minimum_flux,0.007434042857522567,37,statistical,0.0,0.0
spectral_std,0.007173943868994539,38,frequency,0.0,0.0
mad,0.006887116831452158,39,statistical,0.0,0.0
dynamic_range,0.006782316294052281,40,statistical,0.0,0.0
percentile_5,0.006402533502701335,41,statistical,0.0,0.0
maximum_flux,0.006393235334428775,42,statistical,0.0,0.0
percentile_75,0.006126600319857638,43,statistical,0.0,0.0
percentile_95,0.005979070720319749,44,statistical,0.0,0.0
mean_spectral_power,0.005838237030109064,45,frequency,0.0,0.0
iqr,0.005559326455353972,46,statistical,0.0,0.0
variance,0.005395257020268285,47,statistical,-0.0027777777777777735,0.012108052620946295
percentile_25,0.005031739137306817,48,statistical,-0.005555555555555547,0.016666666666666642
std_flux,0.004646793307453581,49,statistical,-0.011111111111111094,0.022222222222222192
median_flux,0.0,50,statistical,-0.027777777777777728,0.032867109906108936
