feature,importance_mean,importance_std,rank
transit_sde,0.21111111111111117,0.06236095644623235,1
kurtosis,0.08055555555555559,0.0447041026095308,2
harmonic_ratio,0.041666666666666685,0.024056261216234418,3
transit_period,0.03611111111111113,0.026498311150470723,4
transit_transit_snr,0.027777777777777818,0.0795434503515353,5
second_frequency,0.01944444444444445,0.026498311150470723,6
gap_fraction,0.01944444444444445,0.026498311150470723,7
dominant_frequency,0.016666666666666673,0.025458753860865786,8
observation_duration_days,0.013888888888888895,0.024056261216234418,9
second_power,0.013888888888888895,0.024056261216234418,10
mean_gap_days,0.013888888888888895,0.024056261216234418,11
zero_crossings,0.013888888888888895,0.024056261216234418,12
third_frequency,0.011111111111111117,0.022222222222222233,13
std_cadence_days,0.011111111111111117,0.022222222222222233,14
dominant_period,0.011111111111111117,0.022222222222222233,15
transit_duration,0.008333333333333337,0.019837301190396815,16
power_concentration,0.005555555555555558,0.016666666666666673,17
median_flux,0.0,0.0,18
spectral_energy,0.0,0.0,19
flux_entropy,0.0,0.0,20
percentile_95,0.0,0.0,21
iqr,0.0,0.0,22
percentile_5,0.0,0.0,23
percentile_25,0.0,0.0,24
mad,0.0,0.0,25
percentile_75,0.0,0.0,26
maximum_flux,0.0,0.0,27
minimum_flux,0.0,0.0,28
rms,0.0,0.0,29
dynamic_range,0.0,0.0,30
variance,0.0,0.0,31
std_flux,0.0,0.0,32
mean_flux,0.0,0.0,33
num_observations,0.0,0.0,34
third_power,0.0,0.0,35
spectral_entropy,0.0,0.0,36
dominant_power,0.0,0.0,37
time_span_hours,0.0,0.0,38
largest_gap_days,0.0,0.0,39
mean_cadence_days,0.0,0.0,40
sampling_density,0.0,0.0,41
mean_spectral_power,0.0,0.0,42
transit_epoch,0.0,0.0,43
frequency_variance,0.0,0.0,44
spectral_std,0.0,0.0,45
max_spectral_power,0.0,0.0,46
median_cadence_days,-0.0027777777777777735,0.012108052620946295,47
skewness,-0.005555555555555547,0.016666666666666642,48
cadence_minutes,-0.011111111111111094,0.022222222222222192,49
transit_depth,-0.027777777777777728,0.032867109906108936,50
