original_points,quality_removed,nan_removed,duplicate_removed,sigma_removed,Rows,NaNs,Duplicate Times,Median Flux,Flux Std,file_name,status
13541,9,0,0,0,13532,0,0,1.0,0.00031573743417790046,TIC_100990000_Sector_3.parquet,Success
19611,0,0,0,0,19611,0,0,1.0,0.008784359028195026,TIC_120252452_Sector_40.parquet,Success
17303,311,0,0,1,16991,0,0,1.0,0.014823047379279685,TIC_120422519_Sector_53.parquet,Success
18556,1300,0,0,1,17255,0,0,1.0,0.018543312453985418,TIC_120691237_Sector_80.parquet,Success
19610,0,0,0,1,19609,0,0,1.0,0.01928507211336824,TIC_121395761_Sector_40.parquet,Success
19474,0,0,0,0,19474,0,0,1.0,0.0065644692062859595,TIC_121467823_Sector_75.parquet,Success
18556,2672,0,0,0,15884,0,0,1.0,0.02799662121082359,TIC_121598758_Sector_80.parquet,Success
117703,2373,0,0,6,115324,0,0,1.0,0.006105978083155468,TIC_121603794_Sector_40.parquet,Success
18556,1439,0,0,0,17117,0,0,1.0,0.05043370129322145,TIC_121785939_Sector_80.parquet,Success
18556,1279,0,0,0,17277,0,0,1.0,0.030191965250536794,TIC_121988890_Sector_80.parquet,Success
18788,1080,0,0,0,17708,0,0,1.0,0.006781287584028375,TIC_122442334_Sector_74.parquet,Success
18787,2126,0,0,0,16661,0,0,1.0,0.007748618449502857,TIC_122515955_Sector_74.parquet,Success
18422,1658,0,0,1,16763,0,0,1.0,0.0033443092555239386,TIC_123447592_Sector_14.parquet,Success
19611,0,0,0,0,19611,0,0,1.0,0.0024960702255997073,TIC_123496782_Sector_40.parquet,Success
18788,2478,0,0,0,16310,0,0,1.0,0.03287067610541425,TIC_123499226_Sector_74.parquet,Success
19611,0,0,0,0,19611,0,0,1.0,0.004738365968697568,TIC_137155210_Sector_40.parquet,Success
18788,184,0,0,0,18604,0,0,1.0,0.006721139793089097,TIC_137211068_Sector_74.parquet,Success
18787,294,0,0,0,18493,0,0,1.0,0.016178064098668045,TIC_137556197_Sector_74.parquet,Success
19611,0,0,0,0,19611,0,0,1.0,0.039053218196692496,TIC_137558813_Sector_40.parquet,Success
18788,1631,0,0,0,17157,0,0,1.0,0.043975498208070084,TIC_137637249_Sector_74.parquet,Success
18785,0,0,0,0,18785,0,0,1.0,0.046486027863968916,TIC_138213510_Sector_74.parquet,Success
18410,130,0,0,0,18280,0,0,1.0,0.02612968776242538,TIC_138219758_Sector_81.parquet,Success
18788,0,0,0,0,18788,0,0,1.0,0.007310738461244084,TIC_138569175_Sector_74.parquet,Success
18788,0,0,0,0,18788,0,0,1.0,0.03615554986044228,TIC_138805992_Sector_74.parquet,Success
15692,847,0,0,0,14845,0,0,1.0,0.0016215363577106697,TIC_152476657_Sector_4.parquet,Success
18423,0,0,0,0,18423,0,0,1.0,0.0010656538049121482,TIC_158002130_Sector_14.parquet,Success
18787,2295,0,0,1,16491,0,0,1.0,0.01060236454214471,TIC_158434144_Sector_74.parquet,Success
18556,6931,0,0,0,11625,0,0,1.0,0.03151627103542739,TIC_158487108_Sector_80.parquet,Success
18555,5718,0,0,0,12837,0,0,1.0,0.03865155359952344,TIC_158494681_Sector_80.parquet,Success
18788,1253,0,0,0,17535,0,0,1.0,0.012703266703202369,TIC_158722002_Sector_74.parquet,Success
18136,0,0,0,0,18136,0,0,1.0,0.0240688870300468,TIC_158727691_Sector_82.parquet,Success
19609,1335,0,0,1,18273,0,0,1.0,0.008749600616351735,TIC_158729099_Sector_40.parquet,Success
18788,1133,0,0,0,17655,0,0,1.0,0.009586698346508217,TIC_158923465_Sector_74.parquet,Success
18788,3165,0,0,1,15622,0,0,1.0,0.017204421964028827,TIC_159175206_Sector_74.parquet,Success
18788,1074,0,0,0,17714,0,0,1.0,0.006654234009161265,TIC_159521326_Sector_74.parquet,Success
18556,5578,0,0,0,12978,0,0,1.0,0.038634663082056396,TIC_159643991_Sector_80.parquet,Success
117667,3727,0,0,0,113940,0,0,1.0,0.0034973064078266127,TIC_159654016_Sector_40.parquet,Success
19474,0,0,0,0,19474,0,0,1.0,0.05120730523800079,TIC_164524311_Sector_75.parquet,Success
16940,0,0,0,0,16940,0,0,1.0,0.002368858000879776,TIC_164527695_Sector_26.parquet,Success
18788,184,0,0,0,18604,0,0,1.0,0.04691780623844662,TIC_170647523_Sector_74.parquet,Success
18787,184,0,0,0,18603,0,0,1.0,0.004363021453572564,TIC_184247532_Sector_74.parquet,Success
18322,0,0,0,0,18322,0,0,1.0,0.02414289267684317,TIC_184296619_Sector_41.parquet,Success
18787,0,0,0,0,18787,0,0,1.0,0.01932321575098644,TIC_184298883_Sector_74.parquet,Success
18348,764,0,0,0,17584,0,0,1.0,0.00034632441596964454,TIC_230061010_Sector_14.parquet,Success
18423,764,0,0,0,17659,0,0,1.0,0.001957052578441913,TIC_230127302_Sector_14.parquet,Success
19610,0,0,0,0,19610,0,0,1.0,0.01728659162108732,TIC_237157751_Sector_40.parquet,Success
18788,184,0,0,0,18604,0,0,1.0,0.03569050893565471,TIC_239229224_Sector_74.parquet,Success
19609,222,0,0,0,19387,0,0,1.0,0.01189669059510818,TIC_243271716_Sector_40.parquet,Success
14510,4917,0,0,1,9592,0,0,1.0,0.003881833498970819,TIC_262662119_Sector_42.parquet,Success
18788,849,0,0,0,17939,0,0,1.0,0.015095587330621801,TIC_264508835_Sector_74.parquet,Success
16790,1301,0,0,1,15488,0,0,1.0,0.00023381873734943908,TIC_267519701_Sector_10.parquet,Success
18788,359,0,0,0,18429,0,0,1.0,0.01915845273448811,TIC_268704766_Sector_74.parquet,Success
18322,0,0,0,0,18322,0,0,1.0,0.028020173280009327,TIC_269357457_Sector_41.parquet,Success
18410,3209,0,0,0,15201,0,0,1.0,0.02436142187518694,TIC_26961231_Sector_81.parquet,Success
19609,1249,0,0,1,18359,0,0,1.0,0.007202338635857152,TIC_27011135_Sector_40.parquet,Success
18787,848,0,0,0,17939,0,0,1.0,0.01979325101892318,TIC_270521167_Sector_74.parquet,Success
18410,1375,0,0,0,17035,0,0,1.0,0.022164006714964987,TIC_270854411_Sector_81.parquet,Success
18788,520,0,0,0,18268,0,0,1.0,0.00830279952830346,TIC_270956861_Sector_74.parquet,Success
19610,0,0,0,0,19610,0,0,0.9999999999999999,0.06340028103196856,TIC_271767300_Sector_40.parquet,Success
18410,0,0,0,0,18410,0,0,0.9999999999999999,0.05453482013580111,TIC_271959909_Sector_81.parquet,Success
18788,184,0,0,0,18604,0,0,1.0,0.021476456419585645,TIC_271960115_Sector_74.parquet,Success
18409,4314,0,0,0,14095,0,0,1.0,0.033644605851587295,TIC_272080244_Sector_81.parquet,Success
18410,669,0,0,0,17741,0,0,1.0,0.05415527410316476,TIC_272719153_Sector_81.parquet,Success
18788,184,0,0,0,18604,0,0,1.0,0.015234392719734337,TIC_272845785_Sector_74.parquet,Success
18322,0,0,0,0,18322,0,0,1.0,0.019702527758252493,TIC_27318774_Sector_41.parquet,Success
18319,0,0,0,0,18319,0,0,1.0,0.03718598560448223,TIC_273373582_Sector_41.parquet,Success
18788,184,0,0,0,18604,0,0,1.0,0.02398990537959261,TIC_273499989_Sector_74.parquet,Success
18410,2293,0,0,0,16117,0,0,1.0,0.03262775352363452,TIC_273582656_Sector_81.parquet,Success
18783,184,0,0,2,18597,0,0,1.0,0.019568580214782458,TIC_273591945_Sector_74.parquet,Success
19024,0,0,0,0,19024,0,0,1.0000000000000002,0.07241526265127043,TIC_273681023_Sector_76.parquet,Success
18788,1698,0,0,0,17090,0,0,1.0,0.014922611044367581,TIC_27390527_Sector_74.parquet,Success
18788,1675,0,0,1,17112,0,0,1.0,0.035949258206210304,TIC_27843776_Sector_74.parquet,Success
18554,5365,0,0,0,13189,0,0,1.0,0.028874570936443952,TIC_279915745_Sector_80.parquet,Success
19609,0,0,0,3,19606,0,0,1.0,0.0034070155332106516,TIC_279915941_Sector_40.parquet,Success
17991,0,0,0,4,17987,0,0,1.0,0.002523278087648039,TIC_288246496_Sector_57.parquet,Success
16273,1003,0,0,0,15270,0,0,1.0,0.004273065881170386,TIC_332024125_Sector_44.parquet,Success
18554,5578,0,0,0,12976,0,0,1.0,0.02735766413164833,TIC_350810559_Sector_80.parquet,Success
18556,6999,0,0,0,11557,0,0,1.0,0.0291976996268112,TIC_350813882_Sector_80.parquet,Success
18788,3593,0,0,0,15195,0,0,1.0,0.010330636225971598,TIC_352013661_Sector_74.parquet,Success
16531,328,0,0,0,16203,0,0,1.0,0.0033260422845936746,TIC_363573185_Sector_45.parquet,Success
16749,0,0,0,0,16749,0,0,1.0,0.005378019144126155,TIC_375654303_Sector_52.parquet,Success
17262,1898,0,0,0,15364,0,0,1.0,0.004669063107318619,TIC_381360750_Sector_70.parquet,Success
18864,4516,0,0,0,14348,0,0,1.0,0.0007240290040617411,TIC_407090552_Sector_12.parquet,Success
90198,33818,0,0,0,56380,0,0,1.0,0.00533146407011712,TIC_434094657_Sector_42.parquet,Success
10787,3738,0,0,12,7037,0,0,1.0,0.002773001252684589,TIC_460396820_Sector_51.parquet,Success
19610,0,0,0,0,19610,0,0,1.0,0.004388583401005747,TIC_48503953_Sector_40.parquet,Success
18410,1180,0,0,0,17230,0,0,0.9999999999999999,0.03665666287074143,TIC_63065911_Sector_81.parquet,Success
88929,13387,0,0,5,75537,0,0,1.0,0.0003220226233450036,TIC_75673519_Sector_91.parquet,Success
97482,6674,0,0,6,90802,0,0,1.0,0.00036612700759762153,TIC_80224448_Sector_44.parquet,Success
